sensor_id,timestamp,temperature,humidity,vibration
A03,2025-10-28 13:50:58.199369,22.83,30.59,0.84
A01,2025-10-28 13:51:00.199938,26.48,37.07,0.67
A02,2025-10-28 13:51:02.201271,26.89,50.66,0.4
A02,2025-10-28 13:51:04.202542,20.99,53.52,0.47
A01,2025-10-28 13:51:06.203598,21.93,35.37,0.84
A01,2025-10-28 13:51:08.204377,29.02,49.1,0.66
A01,2025-10-28 13:51:10.205119,22.6,56.74,0.29
A02,2025-10-28 13:51:12.205834,21.59,52.03,0.87
A02,2025-10-28 13:51:14.206256,22.15,33.91,0.25
A03,2025-10-28 13:51:16.206715,24.04,58.92,0.98
A03,2025-10-28 13:51:18.207228,27.27,58.11,0.47
A02,2025-10-28 13:51:20.208578,28.81,33.8,0.79
A03,2025-10-28 13:51:22.209009,23.36,58.28,0.35
A01,2025-10-28 13:51:24.210190,25.85,57.85,0.15
A01,2025-10-28 13:51:26.211424,24.66,40.76,0.55
A01,2025-10-28 13:51:28.211998,26.93,36.18,0.47
A01,2025-10-28 13:51:30.212420,22.78,44.06,0.37
A01,2025-10-28 13:51:32.213262,27.09,41.31,0.91
A03,2025-10-28 13:51:34.213916,26.32,45.57,0.74
A01,2025-10-28 13:51:36.214839,26.6,55.15,0.44
A03,2025-10-28 13:51:38.215568,25.3,35.66,0.27
A01,2025-10-28 13:51:40.216292,22.76,40.54,0.83
A01,2025-10-28 13:51:42.217516,21.67,44.39,0.62
A03,2025-10-28 13:51:44.218640,21.41,50.56,0.41
A03,2025-10-28 13:51:46.219590,21.28,50.11,0.27
A01,2025-10-28 13:51:48.220882,21.08,41.24,0.72
A03,2025-10-28 13:51:50.222247,26.39,51.52,0.53
A03,2025-10-28 13:51:52.223288,20.68,42.88,0.52
A01,2025-10-28 13:51:54.224183,28.36,57.68,0.63
A03,2025-10-28 13:51:56.224843,20.7,34.2,0.95
A02,2025-10-28 13:51:58.225556,21.66,31.65,0.87
A03,2025-10-28 13:52:00.225895,21.01,54.05,0.12
A01,2025-10-28 13:52:02.227103,22.27,46.13,0.45
A01,2025-10-28 13:52:04.227834,28.59,59.94,0.98
A03,2025-10-28 13:52:06.228353,28.15,30.73,0.13
A01,2025-10-28 13:52:08.228732,25.67,52.99,0.26
A03,2025-10-28 13:52:10.229594,22.43,59.23,0.63
A01,2025-10-28 13:52:12.230775,26.57,51.05,0.54
A02,2025-10-28 13:52:14.232043,22.46,47.57,0.49
A02,2025-10-28 13:52:16.232666,25.33,52.74,0.23
A01,2025-10-28 13:52:18.233421,21.23,54.23,0.83
A02,2025-10-28 13:52:20.234283,24.17,33.24,0.47
A03,2025-10-28 13:52:22.235078,24.63,32.03,1.0
A03,2025-10-28 13:52:24.235925,29.64,39.61,0.23
A02,2025-10-28 13:52:26.236571,24.68,42.18,0.61
A03,2025-10-28 13:52:28.237417,22.38,45.81,0.28
A01,2025-10-28 13:52:30.238189,20.93,31.57,0.85
A01,2025-10-28 13:52:32.239459,27.09,46.71,0.68
A02,2025-10-28 13:52:34.240671,22.0,53.96,0.54
A02,2025-10-28 13:52:36.241850,20.69,50.96,0.91
A02,2025-10-28 13:52:38.242870,24.18,45.32,0.84
A01,2025-10-28 13:52:40.243887,26.53,54.21,0.22
A03,2025-10-28 13:52:42.244887,25.09,47.18,0.55
A01,2025-10-28 13:52:44.245984,21.6,40.28,0.11
A03,2025-10-28 13:52:46.246569,26.96,57.37,0.96
A02,2025-10-28 13:52:48.247810,21.18,38.4,0.47
A03,2025-10-28 13:52:50.248410,29.54,39.51,0.54
A03,2025-10-28 13:52:52.249076,20.51,37.0,0.79
A02,2025-10-28 13:52:54.250162,23.54,41.16,0.38
A01,2025-10-28 13:52:56.251072,27.68,38.05,0.99
A03,2025-10-28 13:52:58.251998,28.31,50.74,0.9
A02,2025-10-28 13:53:00.253415,24.9,31.85,0.85
A01,2025-10-28 13:53:02.253992,20.74,41.87,0.72
A02,2025-10-28 13:53:04.255228,20.37,59.86,0.66
A03,2025-10-28 13:53:06.255833,24.09,57.19,0.75
A03,2025-10-28 13:53:08.256167,21.39,34.33,0.14
A01,2025-10-28 13:53:10.256543,20.46,46.51,0.26
A01,2025-10-28 13:53:12.256921,22.48,40.17,0.65
A02,2025-10-28 13:53:14.258094,26.36,53.26,0.61
