sensor_id,timestamp,temperature,humidity,vibration
A02,2025-10-26T17:06:01.202160,25.36,45.77,0.49
A02,2025-10-26T17:06:03.209285,24.47,38.42,0.74
A02,2025-10-26T17:06:05.218330,24.41,46.08,0.36
A03,2025-10-26T17:06:07.226810,21.85,35.72,0.31
A01,2025-10-26T17:06:09.231337,28.39,52.56,0.51
A03,2025-10-26T17:06:11.238588,26.51,41.47,0.6
A02,2025-10-26T17:06:13.246641,28.24,50.74,0.82
A03,2025-10-26T17:06:15.257647,26.71,33.72,1.0
A03,2025-10-26T17:06:17.261354,20.14,59.19,0.36
A03,2025-10-26T17:06:19.271796,20.75,54.8,0.23
A02,2025-10-26T17:06:21.286289,27.03,47.12,0.34
A03,2025-10-26T17:06:23.294268,24.8,36.89,0.11
A02,2025-10-26T17:06:25.300679,25.84,56.1,0.41
A01,2025-10-26T17:06:27.309801,29.79,56.14,0.76
A02,2025-10-26T17:06:29.316585,25.76,57.29,0.98
A02,2025-10-26T17:06:31.322768,21.31,54.93,0.11
A02,2025-10-26T17:06:33.338657,20.84,49.14,0.72
A03,2025-10-26T17:06:35.341741,25.81,57.09,0.19
